rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
260431	tohā	young (human)	adj	AH-CSDPN	441	Chepang	12a.01
260449	budo	aged (human)	adj	AH-CSDPN	441	Chepang	12a.02
260475	dyun.ʔo	strong (human)	adj	AH-CSDPN	441	Chepang	12a.04
260476	chur.ʔo	strong (human)	adj	AH-CSDPN	441	Chepang	12a.04
260490	gru.ʔo	weak (human)	adj	AH-CSDPN	441	Chepang	12a.05
260501	kharh.ʔo	violent (human)	adj	AH-CSDPN	441	Chepang	12a.06
260515	kām.ʔo	gentle (human)	adj	AH-CSDPN	441	Chepang	12a.07
260529	syāk.ʔo	alive (human)	adj	AH-CSDPN	441	Chepang	12a.08
260542	si.ʔo	dead (human)	adj	AH-CSDPN	441	Chepang	12a.09
260555	thi.ʔo	numb (human)	adj	AH-CSDPN	441	Chepang	12a.10
260568	mik lok.ʔo	blind (human)	adj	AH-CSDPN	441	Chepang	12a.11
260582	no lok.ʔo	deaf (human)	adj	AH-CSDPN	441	Chepang	12a.12
260619	yāʔ.ʔo	careful	adj	AH-CSDPN	441	Chepang	12a.15
260633	yāʔ.mā.lo	careless	adj	AH-CSDPN	441	Chepang	12a.16
260647	hwak.ʔo	intelligent	adj	AH-CSDPN	441	Chepang	12a.17
260660	hwak.mā.lo	ignorant	adj	AH-CSDPN	441	Chepang	12a.18
260671	sip ciʔ.ʔo	clever (hands)	adj	AH-CSDPN	441	Chepang	12a.19
260685	ci?.?o	clever (head)	adj	AH-CSDPN	441	Chepang	12a.20
260698	ciʔ.mā.lo	foolish	adj	AH-CSDPN	441	Chepang	12a.21
260726	pe.ʔo	good (human)	adj	AH-CSDPN	441	Chepang	12a.23
260739	rew.ʔo	evil (human)	adj	AH-CSDPN	441	Chepang	12a.24
260754	tu.ʔo	healthy (human)	adj	AH-CSDPN	441	Chepang	12a.25
260755	selʔ.ʔo	healthy (human)	adj	AH-CSDPN	441	Chepang	12a.25
260770	jik.ʔo cāwʔ.ʔo	sick (human)	adj	AH-CSDPN	441	Chepang	12a.26
260782	thāl.ʔo	busy	adj	AH-CSDPN	441	Chepang	12a.27
260783	bhungh.ʔo	busy	adj	AH-CSDPN	441	Chepang	12a.27
260797	ʔal.si	lazy	adj	AH-CSDPN	441	Chepang	12a.28
260810	hryām.ʔo	tired	adj	AH-CSDPN	441	Chepang	12a.29
260849	sāhn	rich (human)	adj	AH-CSDPN	441	Chepang	12a.32
260862	hryāt	poor (human)	adj	AH-CSDPN	441	Chepang	12a.33
260875	chaw◦mu.ʔo	fat (human)	adj	AH-CSDPN	441	Chepang	12a.34
260888	dyun.ʔo	stout (human)	adj	AH-CSDPN	441	Chepang	12a.35
260900	greng.ʔo	slender (human)	adj	AH-CSDPN	441	Chepang	12a.36
